Date;Amount;Original amount;Original currency;Exchange rate;Description;Subject;Category;Tags;Wise;Spaces
2024-08-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24091;Health;subscription;No;Main Account
2024-08-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24092;Entertainment;subscription;No;Main Account
2024-08-17;-89.90;-89.90;CHF;1.00;Coop Grocery;REF-24093;Food & Dining;personal;No;Main Account
2024-08-20;-180.00;-180.00;CHF;1.00;Back to School Shopping;REF-24094;Shopping;personal;No;Main Account
2024-08-22;920.00;920.00;CHF;1.00;Freelance Work;REF-24095;Income;business;No;Business Income
2024-08-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24096;Insurance;recurring;No;Main Account
2024-08-28;-93.70;-93.70;CHF;1.00;Migros Grocery;REF-24097;Food & Dining;personal;No;Main Account
2024-09-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24098;Transportation;recurring;No;Main Account
2024-09-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24099;Housing;rent;recurring;Main Account
2024-09-05;5500.00;5500.00;CHF;1.00;Salary September;REF-24100;Income;salary;No;Main Account
2024-09-07;-91.80;-91.80;CHF;1.00;Migros Grocery;REF-24101;Food & Dining;personal;No;Main Account
2024-09-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24102;Bills & Utilities;recurring;No;Main Account
2024-09-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24103;Health;subscription;No;Main Account
2024-09-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24104;Entertainment;subscription;No;Main Account
2024-09-17;-88.50;-88.50;CHF;1.00;Coop Grocery;REF-24105;Food & Dining;personal;No;Main Account
2024-09-20;-250.00;-250.00;CHF;1.00;Winter Jacket;REF-24106;Shopping;personal;No;Main Account
2024-09-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24107;Insurance;recurring;No;Main Account
2024-09-28;-94.20;-94.20;CHF;1.00;Migros Grocery;REF-24108;Food & Dining;personal;No;Main Account
2024-10-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24109;Transportation;recurring;No;Main Account
2024-10-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24110;Housing;rent;recurring;Main Account
2024-10-05;5500.00;5500.00;CHF;1.00;Salary October;REF-24111;Income;salary;No;Main Account
2024-10-07;-92.60;-92.60;CHF;1.00;Migros Grocery;REF-24112;Food & Dining;personal;No;Main Account
2024-10-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24113;Bills & Utilities;recurring;No;Main Account
2024-10-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24114;Health;subscription;No;Main Account
2024-10-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24115;Entertainment;subscription;No;Main Account
2024-10-17;-90.30;-90.30;CHF;1.00;Coop Grocery;REF-24116;Food & Dining;personal;No;Main Account
2024-10-20;-1100.00;-1000.00;EUR;1.10;Ski Pass Season;REF-24117;Entertainment;winter;No;Main Account
2024-10-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24118;Insurance;recurring;No;Main Account
2024-10-28;-93.80;-93.80;CHF;1.00;Migros Grocery;REF-24119;Food & Dining;personal;No;Main Account
2024-11-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24120;Transportation;recurring;No;Main Account
2024-11-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24121;Housing;rent;recurring;Main Account
2024-11-05;5500.00;5500.00;CHF;1.00;Salary November;REF-24122;Income;salary;No;Main Account
2024-11-07;-91.90;-91.90;CHF;1.00;Migros Grocery;REF-24123;Food & Dining;personal;No;Main Account
2024-11-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24124;Bills & Utilities;recurring;No;Main Account
2024-11-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24125;Health;subscription;No;Main Account
2024-11-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24126;Entertainment;subscription;No;Main Account
2024-11-17;-89.70;-89.70;CHF;1.00;Coop Grocery;REF-24127;Food & Dining;personal;No;Main Account
2024-11-20;-450.00;-450.00;CHF;1.00;Christmas Shopping;REF-24128;Shopping;gifts;No;Main Account
2024-11-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24129;Insurance;recurring;No;Main Account
2024-11-28;-94.50;-94.50;CHF;1.00;Migros Grocery;REF-24130;Food & Dining;personal;No;Main Account
2024-12-01;-125.00;-125.00;CHF;1.00;SBB Monthly Pass;REF-24131;Transportation;recurring;No;Main Account
2024-12-03;-1450.00;-1450.00;CHF;1.00;Rent Payment;REF-24132;Housing;rent;recurring;Main Account
2024-12-05;5500.00;5500.00;CHF;1.00;Salary December;REF-24133;Income;salary;No;Main Account
2024-12-07;-92.80;-92.80;CHF;1.00;Migros Grocery;REF-24134;Food & Dining;personal;No;Main Account
2024-12-10;-129.90;-129.90;CHF;1.00;Swisscom Bill;REF-24135;Bills & Utilities;recurring;No;Main Account
2024-12-12;-65.00;-65.00;CHF;1.00;Fitness Subscription;REF-24136;Health;subscription;No;Main Account
2024-12-15;-45.99;-45.99;USD;1.00;Netflix Subscription;REF-24137;Entertainment;subscription;No;Main Account
2024-12-17;-91.20;-91.20;CHF;1.00;Coop Grocery;REF-24138;Food & Dining;personal;No;Main Account
2024-12-20;-350.00;-350.00;CHF;1.00;Holiday Gifts;REF-24139;Shopping;gifts;No;Main Account
2024-12-22;1200.00;1200.00;CHF;1.00;Year-end Bonus;REF-24140;Income;bonus;No;Main Account
2024-12-25;-155.00;-155.00;CHF;1.00;Car Insurance;REF-24141;Insurance;recurring;No;Main Account
2024-12-28;-93.60;-93.60;CHF;1.00;Migros Grocery;REF-24142;Food & Dining;personal;No;Main Account
2024-12-31;-250.00;-250.00;CHF;1.00;New Year's Party;REF-24143;Entertainment;personal;No;Main Account
